bank_key,file_name,separator,column_name,dtype,missing_rate,cardinality,has_target,target_has_valid_values
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,transaction_id,object,0.0,100003,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,bank_code,object,0.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,bank_name,object,0.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,bank_country,object,0.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,bank_tier,object,0.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,client_id,object,0.0,4000,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,client_segment,object,0.010459686209413718,5,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,channel,object,0.0,4,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,card_brand,object,0.010419687409377718,3,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,pan_masked,object,0.0,3735,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,pan_hash,object,0.0,4000,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,mti,int64,0.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de2_pan,float64,0.0,6,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de3_processing_code,int64,0.0,5,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de4_amount_transaction,int64,0.0,86906,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de6_amount_cardholder_billing,int64,0.0,89499,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de7_transmission_datetime,int64,0.0,99643,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de9_conversion_rate_billing,float64,0.01000969970900873,10798,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de11_stan,int64,0.0,100003,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de12_local_time,int64,0.0,56346,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de13_local_date,int64,0.0,181,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de14_expiration_date,int64,0.0,71,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de15_settlement_date,float64,0.009819705408837734,182,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de18_merchant_category_code,int64,0.0,26,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de19_acquirer_country_code,int64,0.0,8,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de22_pos_entry_mode,int64,0.0,7,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de23_card_seq_number,float64,0.01037968860934172,4,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de25_pos_condition_code,int64,0.0,4,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de32_acquiring_institution_id,int64,0.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de35_track2_data_masked,object,0.010289691309260721,3993,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de37_retrieval_reference_number,object,0.0,100003,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de38_authorization_code,object,0.03266901992940212,96736,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de39_response_code,int64,0.0,12,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de41_terminal_id,object,0.010249692509224723,995,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de42_card_acceptor_id,object,0.01002969910902673,501,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de43_card_acceptor_name_location,object,0.0,1708,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de44_additional_response_data,object,0.9673309800705979,11,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de48_additional_data,float64,1.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de49_currency_code_transaction,int64,0.0,6,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de50_currency_code_settlement,int64,0.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de51_currency_code_billing,int64,0.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de52_pin_data_present,object,0.0,2,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de54_additional_amounts,float64,1.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de55_emv_data_present,object,0.0,2,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de56_original_data,float64,1.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de58_authorizing_agent_id,float64,0.010119696409107726,2,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de60_pos_terminal_type,object,0.0,4,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de61_pos_extended_data,float64,0.010249692509224723,5,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de63_network_specific,object,0.010449686509404718,2,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de100_receiving_institution_id,float64,0.010499685009449717,2,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de102_account_id_1,object,0.010349689509314721,4001,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de103_account_id_2,float64,1.0,1,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,de123_pos_data_code,object,0.009539713808585742,9,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,amount_local,float64,0.0,89499,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,amount_tx_currency,float64,0.0,86906,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,currency_tx_alpha,object,0.0,6,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,amount_usd,float64,0.0,56889,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,is_international,bool,0.0,2,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,distance_from_home_km,float64,0.009779706608801736,10684,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,hour_local,int64,0.0,24,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,day_of_week,object,0.01004969850904473,8,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,approved,bool,0.0,2,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,response_description,object,0.009879703608891734,13,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,client_baseline_amount,float64,0.0,3948,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,client_home_city,object,0.0,8,True,True
bank_1,Copia de 01_bo_vip_seed22_n100000.csv,;,is_fraud,bool,0.0,2,True,True
